datetime,line,station,day_of_week,hour,minute,weather,temperature,passenger_load,is_maintenance,delay_minutes,is_delayed
2023-01-01 08:24:00,Bx,Holte,6,8,24,Snowy,1.6,0.82,0,17,1
2023-01-01 18:18:00,Bx,Hovedbanegården,6,18,18,Rainy,-0.6,0.92,0,13,1
2023-01-01 07:30:00,F,Valby,6,7,30,Rainy,2.5,0.8,0,7,1
2023-01-01 20:49:00,E,Hovedbanegården,6,20,49,Snowy,9.0,0.58,0,8,1
2023-01-01 10:55:00,E,Albertslund,6,10,55,Snowy,2.1,0.36,0,9,1
2023-01-01 13:55:00,Bx,Hovedbanegården,6,13,55,Snowy,1.9,0.27,0,7,1
2023-01-01 12:21:00,F,Valby,6,12,21,Snowy,6.9,0.44,0,9,1
2023-01-01 16:47:00,B,Hillerød,6,16,47,Clear,1.7,0.82,0,4,1
2023-01-01 08:19:00,E,Husum,6,8,19,Snowy,1.7,0.48,0,13,1
2023-01-01 17:13:00,H,Hellerup,6,17,13,Rainy,4.8,0.78,0,8,1
2023-01-01 08:21:00,B,Klampenborg,6,8,21,Clear,4.9,0.84,0,6,1
2023-01-01 12:03:00,A,Skovlunde,6,12,3,Clear,4.4,0.31,0,0,0
2023-01-01 15:35:00,F,Holmegaard,6,15,35,Rainy,5.1,0.4,0,2,1
2023-01-01 08:12:00,Bx,Lyngby,6,8,12,Cloudy,7.0,0.82,0,3,1
2023-01-01 22:50:00,E,Enghave Plads,6,22,50,Clear,1.1,0.06,0,15,1
2023-01-01 07:46:00,Bx,Skovshoved,6,7,46,Clear,2.0,0.9,0,3,1
2023-01-01 05:50:00,H,Dybbølsbro,6,5,50,Snowy,2.5,0.28,0,6,1
2023-01-01 06:26:00,A,Nørreport,6,6,26,Clear,2.1,0.05,0,0,0
2023-01-01 07:13:00,A,Glostrup,6,7,13,Rainy,3.8,0.71,0,13,1
2023-01-01 22:01:00,Bx,Skovshoved,6,22,1,Clear,1.6,0.41,0,1,0
2023-01-01 23:42:00,Bx,Nørreport,6,23,42,Snowy,0.6,0.3,0,7,1
2023-01-01 20:51:00,Bx,Hovedbanegården,6,20,51,Rainy,-0.8,0.35,0,1,0
2023-01-01 16:52:00,Bx,Hovedbanegården,6,16,52,Snowy,0.2,0.92,0,12,1
2023-01-01 21:50:00,Bx,Hovedbanegården,6,21,50,Snowy,-0.4,0.54,0,8,1
2023-01-01 14:41:00,C,Værløse,6,14,41,Snowy,-3.7,0.32,0,26,1
2023-01-01 18:09:00,A,Isafold,6,18,9,Snowy,-2.2,0.89,0,13,1
2023-01-01 06:48:00,Bx,Lyngby,6,6,48,Windy,2.9,0.17,0,2,1
2023-01-01 19:45:00,Bx,Skovshoved,6,19,45,Clear,3.7,0.79,0,7,1
2023-01-01 05:39:00,C,Virum,6,5,39,Snowy,3.5,0.12,0,6,1
2023-01-01 18:02:00,E,Nørrebro,6,18,2,Snowy,4.5,0.52,0,16,1
2023-01-01 16:03:00,H,Vesterbro,6,16,3,Clear,0.3,0.82,0,8,1
2023-01-01 11:20:00,Bx,Isafold,6,11,20,Snowy,3.6,0.12,0,7,1
2023-01-01 11:25:00,A,Vanløse,6,11,25,Rainy,-3.4,0.74,0,18,1
2023-01-01 16:52:00,E,Albertslund,6,16,52,Snowy,4.1,0.89,0,14,1
